,date_t2,swe,hn,time_t2,obs_year,swe_a,hn_a,swe_b,hn_b,swe_c,hn_c,den,week,geometry,latitude,longitude,easting,northing,zone,pitid,state,location,site,melt,comments,date_t1,days_between,uv_fp,inc,cor,int_hn_VV,unw_hn_VV,100_cor_VV,100_int_hn,100_unw_hn_VV,int_hn_VH,unw_hn_VH,100_cor_VH,100_unw_hn_VH,int_hn_HV,unw_hn_HV,100_cor_HV,100_unw_hn_HV,int_hn_HH,unw_hn_HH,100_cor_HH,100_unw_hn_HH
381,2021-03-10,0.017,0.11699999999999999,11:55,2020-2021,16.0,11.0,15.0,11.0,19.0,13.0,144.86324786324786,9,POINT (-115.67828 43.94854),43.94854,-115.67828,,,,IDBRM6,ID,Boise River Basin,MC_6,No,"Air Temp: -3.9 C, very thin/sparse ice layer on board",2021-03-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-03_2021-03-10.sd.nc,1.2129950523376465,0.5950527191162109,-0.0991847887635231,-0.12636123597621918,0.4092842638492584,-0.1441545933485031,-0.14770910143852234,-0.0615810751914978,-0.15719439089298248,0.3269606828689575,-0.16112695634365082,-0.1296360045671463,-0.1597595065832138,0.35545074939727783,-0.15674974024295807,-0.1020747721195221,-0.1620049774646759,0.37522754073143005,-0.15282203257083893
382,2021-03-16,0.0,0.0,13:20,2020-2021,0.0,0.0, , , , ,,10,POINT (-115.67828 43.94854),43.94854,-115.67828,,,,IDBRM6,ID,Boise River Basin,MC_6,Yes,"Air Temp: +3.3 C, no new snow",2021-03-10,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-10_2021-03-16.sd.nc,1.2129950523376465,0.770237147808075,-0.09897803515195847,-0.0954856127500534,0.45042547583580017,-0.09193111956119537,-0.09099020808935165,-0.07448845356702805,-0.0592997781932354,0.35629311203956604,-0.08334466814994812,-0.06298423558473587,-0.07219093292951584,0.36958226561546326,-0.08589206635951996,-0.09097661077976227,-0.0955805629491806,0.40176230669021606,-0.08821798115968704
383,2021-03-24,0.026,0.135,12:50,2020-2021,23.0,12.0,28.0,15.0, , ,192.0148148148148,11,POINT (-115.67828 43.94854),43.94854,-115.67828,,,,IDBRM6,ID,Boise River Basin,MC_6,No,"Air Temp: -4.6 C, very little ice on board, ice @+5cm, very slight wind-affected surface",2021-03-16,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-16_2021-03-22.sd.nc,1.2129950523376465,0.40246546268463135,-0.017083071172237396,-0.03364754840731621,0.38324102759361267,-0.006352802738547325,-0.033091675490140915,0.0017758669564500451,,0.3073309659957886,,-0.004084249958395958,,0.31011638045310974,-0.02159385196864605,-0.01892017386853695,,0.33363211154937744,
385,2021-02-03,0.047,0.43,13:15,2020-2021,47.0,43.0, , , , ,108.97441860465116,4,POINT (-115.67997 43.95258),43.95258,-115.67997,,,,IDBRM7,ID,Boise River Basin,MC_7,No, ,2021-01-27,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-01-27_2021-02-03.sd.nc,1.3322408199310303,0.25161758065223694,0.15659117698669434,,0.3797548711299896,0.11450602114200592,,0.1743316799402237,,0.3160353899002075,,0.18046638369560242,,0.3243662118911743,,0.1671118140220642,,0.3804720640182495,
386,2021-02-10,0.022,0.13,13:30,2020-2021,20.0,11.0,21.0,13.0,26.0,15.0,168.72307692307692,5,POINT (-115.67997 43.95258),43.95258,-115.67997,,,,IDBRM7,ID,Boise River Basin,MC_7,No,"Lots of SH development; light wind, area wind scoured from previous event? Rare to see this little HS at TOW-3.",2021-02-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-02-03_2021-02-10.sd.nc,1.3322408199310303,0.13619105517864227,-0.0269289743155241,,0.4165728986263275,-0.029158707708120346,0.007268942426890135,0.009621459059417248,-0.06462498009204865,0.3686099648475647,0.0169588103890419,-0.15727877616882324,,0.3796619474887848,0.026202671229839325,-0.0036498652771115303,0.0011824342655017972,0.3827086389064789,0.005154317710548639
392,2021-03-24,0.044,0.26,14:05,2020-2021,44.0,27.0,43.0,25.0, , ,168.72307692307692,11,POINT (-115.67997 43.95258),43.95258,-115.67997,,,,IDBRM7,ID,Boise River Basin,MC_7,No,"Air Temp: -1.6 C, very little ice on board, ice @ +5cm, very slight wind-affected surface",2021-03-16,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-16_2021-03-22.sd.nc,1.3322408199310303,0.12009800970554352,0.05934382230043411,,0.3276793956756592,-0.004304549656808376,-0.04551885277032852,0.05599779635667801,,0.3036488890647888,,0.057313546538352966,,0.3119451403617859,-0.008785243146121502,0.09262431412935257,,0.324892520904541,
394,2021-02-03,0.058,0.51,12:25,2020-2021,58.0,51.0, , , , ,113.38431372549019,4,POINT (-115.68174 43.95249),43.95249,-115.68174,,,,IDBRM8,ID,Boise River Basin,MC_8,No, ,2021-01-27,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-01-27_2021-02-03.sd.nc,1.3985564708709717,0.311798632144928,0.22168105840682983,,0.36572393774986267,0.1276429146528244,,0.16630975902080536,,0.3134843707084656,,0.16314470767974854,,0.3233307898044586,,0.18974162638187408,,0.34352412819862366,
395,2021-02-10,0.05,0.273,12:35,2020-2021,48.0,26.0, ,27.0,52.0,29.0,182.60073260073258,5,POINT (-115.68174 43.95249),43.95249,-115.68174,,,,IDBRM8,ID,Boise River Basin,MC_8,No, ,2021-02-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-02-03_2021-02-10.sd.nc,1.3985564708709717,0.24851463735103607,-0.13123609125614166,,0.3422441780567169,-0.044285934418439865,-0.0016074043232947588,-0.08762283623218536,,0.3106096386909485,-0.014943280257284641,-0.09762774407863617,,0.3010179102420807,-0.012910231947898865,-0.0027851674240082502,,0.3219296336174011,-0.004806560464203358
399,2021-03-10,0.012,0.075,12:15,2020-2021,13.0,9.0,11.0,6.0, , ,159.52,9,POINT (-115.68174 43.95249),43.95249,-115.68174,,,,IDBRM8,ID,Boise River Basin,MC_8,No,"Air Temp: -2.2 C, variable ice on board - SWE higher",2021-03-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-03_2021-03-10.sd.nc,1.3985564708709717,0.24112865328788757,-0.17106449604034424,,0.3453456461429596,-0.13361752033233643,-0.14497052133083344,-0.16959141194820404,,0.29388800263404846,-0.1599048674106598,-0.076496921479702,,0.3113999366760254,-0.15759645402431488,-0.1857828050851822,,0.3171136677265167,-0.14696311950683594
400,2021-03-16,0.0,0.0,13:35,2020-2021,0.0,0.0, , , , ,,10,POINT (-115.68174 43.95249),43.95249,-115.68174,,,,IDBRM8,ID,Boise River Basin,MC_8,Yes,"Air Temp: +5.3 C, no new snow",2021-03-10,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-10_2021-03-16.sd.nc,1.3985564708709717,0.23177996277809143,-0.06549206376075745,-0.03388466686010361,0.34525811672210693,-0.07886580377817154,-0.07213824987411499,-0.04537274315953255,,0.31533801555633545,-0.07643187791109085,-0.16475413739681244,,0.32497140765190125,-0.07222538441419601,-0.01321674045175314,,0.33189621567726135,-0.07209834456443787
401,2021-03-24,0.036,0.18,13:15,2020-2021,35.0,18.0,37.0,18.0, , ,199.39999999999998,11,POINT (-115.68174 43.95249),43.95249,-115.68174,,,,IDBRM8,ID,Boise River Basin,MC_8,No,"Air Temp: -2.7 C, very little ice on board, ice @ +5cm, very slight wind-affected surface",2021-03-16,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-16_2021-03-22.sd.nc,1.3985564708709717,0.14424242079257965,-0.03681540861725807,,0.2984310984611511,0.0073212445713579655,-0.03573862463235855,0.014722535386681557,,0.28222277760505676,-0.0427151694893837,0.049514319747686386,,0.2859516739845276,-0.028050564229488373,-0.0012853442458435893,,0.2957708239555359,
404,2021-02-03,0.074,0.49,12:50,2020-2021,74.0,49.0, , , , ,150.56734693877553,4,POINT (-115.68158 43.9549),43.9549,-115.68158,,,,IDBRM9,ID,Boise River Basin,MC_9,No, ,2021-01-27,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-01-27_2021-02-03.sd.nc,1.2901453971862793,0.3187704384326935,0.2313336730003357,,0.41740015149116516,0.14338594675064087,,0.21755872666835785,,0.32254302501678467,,0.26385384798049927,,0.3362693786621094,,0.22988776862621307,,0.36910152435302734,
405,2021-02-10,0.005,0.03,12:55,2020-2021,4.0,2.0,5.0,3.0,6.0,4.0,166.16666666666669,5,POINT (-115.68158 43.9549),43.9549,-115.68158,,,,IDBRM9,ID,Boise River Basin,MC_9,No,Heavily wind affected firm,2021-02-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-02-03_2021-02-10.sd.nc,1.2901453971862793,0.21376357972621918,-0.015101146884262562,0.013424083590507507,0.4295739531517029,-0.019183866679668427,-0.004073059186339378,-0.14099231362342834,,0.32692092657089233,-0.003212614683434367,-0.019409915432333946,-0.027382127940654755,0.34880995750427246,-0.0036440053954720497,-0.0002514162042643875,-0.022596299648284912,0.4068554639816284,-0.006399160251021385
409,2021-03-10,0.012,0.075,12:50,2020-2021,11.0,7.0,13.0,8.0, , ,159.52,9,POINT (-115.68158 43.9549),43.9549,-115.68158,,,,IDBRM9,ID,Boise River Basin,MC_9,No,"Air Temp: -2.1 C, very little ice on board",2021-03-03,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-03_2021-03-10.sd.nc,1.2901453971862793,0.3269772529602051,-0.06978703290224075,-0.09589356929063797,0.3859643340110779,-0.127363920211792,-0.12834137678146362,-0.15978050231933594,,0.29947444796562195,-0.13603004813194275,-0.025998134166002274,,0.31587886810302734,-0.1402128040790558,-0.08553186804056168,,0.34695619344711304,-0.13788509368896484
410,2021-03-16,0.0,0.0,13:50,2020-2021,0.0,0.0, , , , ,,10,POINT (-115.68158 43.9549),43.9549,-115.68158,,,,IDBRM9,ID,Boise River Basin,MC_9,Yes,"Air Temp: +2.7 C, no new snow",2021-03-10,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-10_2021-03-16.sd.nc,1.2901453971862793,0.20742905139923096,-0.1004728451371193,-0.07413218915462494,0.3876219391822815,-0.08598034828901291,-0.08615266531705856,-0.13935977220535278,,0.31610071659088135,-0.07871408015489578,-0.1701490879058838,-0.09142465889453888,0.3463885486125946,-0.07998038828372955,-0.13379546999931335,-0.10282571613788605,0.34424445033073425,-0.07651223987340927
411,2021-03-24,0.026,0.125,13:40,2020-2021,25.0,12.0,27.0,13.0, , ,207.37599999999998,11,POINT (-115.68158 43.9549),43.9549,-115.68158,,,,IDBRM9,ID,Boise River Basin,MC_9,No,"Air Temp: -1.9 C, very little ice on board, ice @ +5cm, very slight wind-affected surface",2021-03-16,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-03-16_2021-03-22.sd.nc,1.2901453971862793,0.23811209201812744,-0.03732100874185562,0.004271902609616518,0.3271770477294922,0.01803618296980858,-0.020194917917251587,-0.046383313834667206,,0.2851024270057678,-0.023547284305095673,-0.04355514049530029,,0.2950282096862793,-0.042999520897865295,-0.01358298771083355,,0.30935943126678467,-0.06808339804410934
