,Latitude,Longitude,Easting,Northing,Zone,Date/Local Standard Time,Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,AVG HN (cm),SWE (mm) A,SWE (mm) B,SWE (mm) C,AVG SWE (mm),Melt,Comments,date_t2,geometry,nearest_inc,100_int_sd_delta_VV,100_unw_sd_delta_VV,300_int_sd_delta_VV,300_unw_sd_delta_VV,500_int_sd_delta_VV,500_unw_sd_delta_VV,nearest_int_sd_delta_VV,nearest_cor_VV,nearest_unw_sd_delta_VV,100_int_sd_delta_VH,100_unw_sd_delta_VH,300_int_sd_delta_VH,300_unw_sd_delta_VH,500_int_sd_delta_VH,500_unw_sd_delta_VH,nearest_int_sd_delta_VH,nearest_cor_VH,nearest_unw_sd_delta_VH,100_int_sd_delta_HV,100_unw_sd_delta_HV,300_int_sd_delta_HV,300_unw_sd_delta_HV,500_int_sd_delta_HV,500_unw_sd_delta_HV,nearest_int_sd_delta_HV,nearest_cor_HV,nearest_unw_sd_delta_HV,100_int_sd_delta_HH,100_unw_sd_delta_HH,300_int_sd_delta_HH,300_unw_sd_delta_HH,500_int_sd_delta_HH,500_unw_sd_delta_HH,nearest_int_sd_delta_HH,nearest_cor_HH,nearest_unw_sd_delta_HH,300_coh,cor_0.5_300_int_sd_delta_VV,cor_0.5_300_unw_sd_delta_VV,cor_0.6_300_int_sd_delta_VV,cor_0.6_300_unw_sd_delta_VV,Date,"Local 
Time",DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
10,43.73636,-116.1206,570817.0,4842967.0,11.0,2020-03-11 11:17:00,10,IDBRLT,ID,Boise River Basin,LDP Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes, ,2020-03-11 11:17:00,POINT (-116.1206 43.73636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,44.30463,-115.23601,640701.0,4907221.0,11.0,2020-01-09 14:11:00,1,IDBRBO,ID,Boise River Basin,Banner Open,62.0,62.5,62.0,62.2,62.0,54.0,64.0,60.0, ,placed interval board on 2019-12-18. ,2020-01-09 14:11:00,POINT (-115.23601 44.30463),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44.30461,-115.23598,640704.0,4907219.0,11.0,2020-01-23 14:30:00,3,IDBRBO,ID,Boise River Basin,Banner Open,53.0, , ,53.0,88.0, , ,88.0, ,"Forgot SWE tube, instead did extra density measurements. HN=53cm, avg density=166kg/m3; (53x166)/100=88mm SWE.  ",2020-01-23 14:30:00,POINT (-115.23598 44.30461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,44.30461,-115.23598,640704.0,4907219.0,11.0,2020-01-30 13:40:00,4,IDBRBO,ID,Boise River Basin,Banner Open,36.0,37.0,36.0,36.3,44.0,45.0,45.0,44.7, , ,2020-01-30 13:40:00,POINT (-115.23598 44.30461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,44.30458,-115.23594,640707.0,4907216.0,11.0,2020-02-06 13:00:00,5,IDBRBO,ID,Boise River Basin,Banner Open,23.0,22.0,23.0,22.7,23.0,19.0,22.0,21.3,No, ,2020-02-06 13:00:00,POINT (-115.23594 44.30458),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44.30447,-115.23606,640698.0,4907204.0,11.0,2020-02-13 12:30:00,6,IDBRBO,ID,Boise River Basin,Banner Open,16.5,16.5,16.75,16.6,24.0,24.0,26.0,24.7,No, ,2020-02-13 12:30:00,POINT (-115.23606 44.30447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,44.30462,-115.23603,640700.0,4907220.0,11.0,2020-02-19 12:22:00,7,IDBRBO,ID,Boise River Basin,Banner Open,13.5,14.0,14.5,14.0,14.0,16.0,16.0,15.3,No, ,2020-02-19 12:22:00,POINT (-115.23603 44.30462),1.0870192050933838,0.11515781283378601,0.1153981164097786,0.11616949737071991,0.11700574308633804,0.11914253234863281,0.12021800875663757,0.1015259176492691,0.4870116710662842,,0.11450164765119553,0.11636612564325333,0.10919753462076187,0.11036162078380585,0.11450164765119553,0.11636612564325333,0.18355055153369904,0.12334322929382324,,0.11558033525943756,0.11754273623228073,0.11048238724470139,0.11164671182632446,0.11558033525943756,0.11754273623228073,0.1516580879688263,0.22433963418006897,0.13830018043518066,0.12082815170288086,0.12329687178134918,0.11634869128465652,0.11918812245130539,0.12082815170288086,0.12329687178134918,0.11118870228528976,0.3534655272960663,0.20150543749332428,0.5511569976806641,0.12069796770811081,0.12157689779996872,0.1248098611831665,0.1251552253961563,,,,,,,,
17,44.30454,-115.23603,640700.0,4907211.0,11.0,2020-02-27 12:40:00,8,IDBRBO,ID,Boise River Basin,Banner Open,2.5,2.5,2.5,2.5,4.0,5.0,4.0,4.3,Yes,"wetter towards the bottom, used putty knife to peel up heavy clear snow layer (~1cm).",2020-02-27 12:40:00,POINT (-115.23603 44.30454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,44.30448,-115.23599,640703.0,4907205.0,11.0,2020-03-05 12:45:00,9,IDBRBO,ID,Boise River Basin,Banner Open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No, ,2020-03-05 12:45:00,POINT (-115.23599 44.30448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,44.30443,-115.23607,640697.0,4907199.0,11.0,2020-03-12 12:15:00,10,IDBRBO,ID,Boise River Basin,Banner Open,10.0,10.0,10.5,10.2,19.0,21.0,19.0,19.7,Yes,crust on top.,2020-03-12 12:15:00,POINT (-115.23607 44.30443),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
