,rmse,r,bias
Wrapped VV,0.0847 - 0.111 [0.0975],0.712 - 0.862 [0.795],-0.0281 - 0.00946 [-0.0097]
Unwrapped VV,0.0856 - 0.113 [0.0986],0.706 - 0.869 [0.797],-0.0258 - 0.0123 [-0.0075]
Wrapped HV,0.0847 - 0.112 [0.0985],0.696 - 0.863 [0.79],-0.0273 - 0.0127 [-0.00744]
Unwrapped HV,0.0889 - 0.119 [0.103],0.692 - 0.861 [0.787],-0.028 - 0.0135 [-0.00744]
Wrapped VH,0.0849 - 0.111 [0.0985],0.683 - 0.868 [0.788],-0.0268 - 0.0144 [-0.00651]
Unwrapped VH,0.0883 - 0.118 [0.103],0.696 - 0.861 [0.788],-0.0256 - 0.013 [-0.00651]
Wrapped HH,0.0857 - 0.112 [0.0983],0.705 - 0.868 [0.793],-0.0281 - 0.0108 [-0.0086]
Unwrapped HH,0.0879 - 0.122 [0.104],0.689 - 0.865 [0.785],-0.0314 - 0.0118 [-0.00944]
