stat,loc,date,0.0-1.0,1.0-2.0,2.0-3.0,3.0-4.0,4.0-5.0,5.0-6.0,6.0-7.0,7.0-8.0,8.0-9.0,9.0-10.0,10.0-11.0,11.0-12.0,12.0-13.0,13.0-14.0,14.0-15.0,15.0-16.0,16.0-17.0,17.0-18.0,18.0-19.0,19.0-20.0,20.0-21.0,21.0-22.0,22.0-23.0,23.0-24.0,24.0-25.0,25.0-26.0,26.0-27.0,27.0-28.0,28.0-29.0,29.0-30.0,30.0-31.0,31.0-32.0,32.0-33.0,33.0-34.0,34.0-35.0,35.0-36.0,36.0-37.0,37.0-38.0,38.0-39.0,39.0-40.0,40.0-41.0,41.0-42.0,42.0-43.0,43.0-44.0,44.0-45.0,45.0-46.0,46.0-47.0,47.0-48.0,48.0-49.0,49.0-50.0,50.0-51.0,51.0-52.0,52.0-53.0,53.0-54.0,54.0-55.0,55.0-56.0,56.0-57.0,57.0-58.0,58.0-59.0,59.0-60.0,60.0-61.0,61.0-62.0,62.0-63.0,63.0-64.0,64.0-65.0,65.0-66.0,66.0-67.0,67.0-68.0,68.0-69.0,69.0-70.0,70.0-71.0,71.0-72.0,72.0-73.0,73.0-74.0,74.0-75.0,75.0-76.0,76.0-77.0,77.0-78.0,78.0-79.0,79.0-80.0,80.0-81.0,81.0-82.0,82.0-83.0,83.0-84.0,84.0-85.0,85.0-86.0,86.0-87.0,87.0-88.0,88.0-89.0,89.0-90.0,90.0-91.0,91.0-92.0,92.0-93.0,93.0-94.0,94.0-95.0,95.0-96.0,96.0-97.0,97.0-98.0,98.0-99.0,99.0-100.0,100.0-101.0,101.0-102.0,102.0-103.0,103.0-104.0,104.0-105.0,105.0-106.0,106.0-107.0,107.0-108.0,108.0-109.0,109.0-110.0,110.0-111.0,111.0-112.0,112.0-113.0
n,Banner,2020-02-18,,,,,,,,,,,5.0,10.0,19.0,31.0,51.0,86.0,126.0,317.0,616.0,967.0,1818.0,3092.0,4369.0,5898.0,7605.0,8674.0,10359.0,12989.0,15188.0,18051.0,21378.0,24520.0,28077.0,31740.0,36116.0,42262.0,47637.0,54220.0,60232.0,65688.0,71003.0,75135.0,80515.0,87076.0,96097.0,106656.0,122772.0,137748.0,142497.0,143542.0,148492.0,144608.0,144337.0,143356.0,142755.0,142337.0,142965.0,144575.0,145778.0,148111.0,150340.0,148667.0,149023.0,151582.0,157226.0,155006.0,147548.0,134786.0,125712.0,119845.0,112139.0,107649.0,100594.0,94751.0,91241.0,88436.0,83415.0,76751.0,72428.0,66524.0,62025.0,57425.0,54741.0,51341.0,47077.0,45184.0,42430.0,42146.0,40461.0,38141.0,36229.0,33655.0,30600.0,28364.0,25691.0,22532.0,20095.0,17190.0,14583.0,12225.0,9517.0,7044.0,5162.0,3667.0,2447.0,1703.0,1447.0,1085.0,593.0,286.0,182.0,94.0,36.0
n,Banner,2021-03-15,,,,,,,,,,,5.0,10.0,19.0,31.0,51.0,86.0,126.0,317.0,616.0,967.0,1818.0,3092.0,4369.0,5898.0,7605.0,8674.0,10359.0,12989.0,15188.0,18051.0,21378.0,24520.0,28077.0,31740.0,36116.0,42262.0,47637.0,54220.0,60232.0,65688.0,71003.0,75135.0,80514.0,87077.0,96097.0,106656.0,122772.0,137748.0,142499.0,143541.0,148492.0,144608.0,144336.0,143355.0,142757.0,142337.0,142966.0,144575.0,145779.0,148112.0,150339.0,148671.0,149022.0,151581.0,157227.0,155006.0,147547.0,134786.0,125713.0,119843.0,112139.0,107649.0,100592.0,94752.0,91241.0,88436.0,83414.0,76752.0,72428.0,66524.0,62023.0,57426.0,54741.0,51341.0,47078.0,45182.0,42430.0,42143.0,40460.0,38141.0,36229.0,33652.0,30600.0,28362.0,25689.0,22529.0,20093.0,17190.0,14583.0,12225.0,9517.0,7043.0,5162.0,3667.0,2447.0,1703.0,1447.0,1085.0,593.0,286.0,182.0,94.0,36.0
n,Dry_Creek,2020-02-19,,,,,,,,,,,,,,,,,,,2.0,13.0,34.0,143.0,292.0,384.0,683.0,939.0,1239.0,1494.0,1680.0,1857.0,2918.0,4076.0,5371.0,7086.0,8951.0,10997.0,13325.0,14621.0,16344.0,17572.0,18700.0,20258.0,22042.0,22929.0,24861.0,24922.0,25506.0,26048.0,26479.0,26512.0,27160.0,27340.0,26818.0,27534.0,26878.0,25532.0,25483.0,25814.0,25416.0,25241.0,25470.0,26538.0,26424.0,27168.0,27650.0,27815.0,28191.0,29250.0,30224.0,31592.0,33524.0,34375.0,34641.0,35419.0,34565.0,34144.0,34330.0,33900.0,32137.0,29042.0,26085.0,24084.0,20408.0,17285.0,14066.0,11680.0,8492.0,6256.0,4217.0,2705.0,1952.0,1510.0,1051.0,786.0,655.0,469.0,346.0,226.0,85.0,24.0,,,,,,,,,,,,,
n,Mores,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,112.0,204.0,385.0,656.0,1259.0,1428.0,1750.0,2177.0,2720.0,3639.0,4275.0,5048.0,5622.0,6780.0,7909.0,8209.0,7815.0,8179.0,8160.0,8956.0,9952.0,11152.0,12223.0,13033.0,13698.0,14005.0,14711.0,15239.0,16185.0,18172.0,18792.0,20039.0,21231.0,22743.0,23734.0,24522.0,25535.0,26416.0,27404.0,28583.0,29350.0,30367.0,32402.0,33465.0,33591.0,33260.0,32674.0,30904.0,29636.0,28666.0,27815.0,27643.0,27121.0,26215.0,25601.0,24988.0,24033.0,21660.0,20876.0,19478.0,16607.0,14263.0,12240.0,9502.0,7051.0,5305.0,3622.0,2494.0,1688.0,1003.0,715.0,462.0,213.0,126.0,63.0,43.0,,,,,,,,
n,Mores,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,112.0,204.0,385.0,656.0,1259.0,1428.0,1750.0,2177.0,2720.0,3639.0,4275.0,5048.0,5622.0,6780.0,7909.0,8209.0,7815.0,8179.0,8160.0,8956.0,9952.0,11152.0,12223.0,13033.0,13698.0,14005.0,14711.0,15239.0,16185.0,18172.0,18792.0,20039.0,21231.0,22743.0,23734.0,24522.0,25535.0,26416.0,27404.0,28583.0,29350.0,30367.0,32402.0,33465.0,33590.0,33259.0,32674.0,30904.0,29635.0,28666.0,27815.0,27643.0,27121.0,26215.0,25601.0,24988.0,24033.0,21660.0,20876.0,19478.0,16606.0,14263.0,12240.0,9502.0,7051.0,5306.0,3622.0,2494.0,1688.0,1003.0,714.0,462.0,213.0,126.0,63.0,43.0,,,,,,,,
r,Banner,2020-02-18,,,,,,,,,,,-0.6599971062867319,-0.4617987493074678,-0.6991782342970483,-0.23225684158649323,-0.09900075008106077,-0.027403554602909618,0.05528146958527977,0.059413091105443946,-0.11826132857526644,-0.12594607823526535,-0.18429529948764656,-0.19160132440993455,-0.24875890478146115,-0.2692017776001932,-0.2766776918815852,-0.2932198754551828,-0.2501835164916285,-0.23822458321227688,-0.21734861038499936,-0.2219478400970433,-0.2124300307049899,-0.1856685916352718,-0.1732231783965354,-0.1517073651609115,-0.12470086314798419,-0.11158553625853965,-0.11607006613473271,-0.08489724922858809,-0.06723126592217105,-0.05487693543231653,-0.03793737586295527,-0.006267899685160441,-0.005181121625732545,0.016528845605645964,0.02670485633557421,0.024603390046149178,0.017263994985034305,0.024810134530321066,0.036280376968403166,0.05064755919214843,0.035857858018838916,0.0617897064599485,0.07497760039775303,0.08709648845747645,0.08951460422409678,0.09658631765902716,0.1070532402735343,0.12785329948632207,0.15535759152787113,0.19530663100973986,0.20470580923314433,0.20317879497491603,0.19361009541886734,0.178661276021004,0.16002101922648154,0.14211582331111627,0.15354373292591886,0.1839602689163588,0.221960167153751,0.24260273558562265,0.24217112115906492,0.23112785772511982,0.22674210689488375,0.22770013952542326,0.21640674247035324,0.21151557776477112,0.20270297438095256,0.18425204470821838,0.18236707735155666,0.20489417509271202,0.19149751204126367,0.1804016352817507,0.17553892418246328,0.17306406538753796,0.16702452360025205,0.17371694045980804,0.1671604570468378,0.15424234308189996,0.14313087126701599,0.136028596340869,0.12985693712316979,0.10864233157862095,0.12556222679585816,0.10991424740515315,0.09613341893967897,0.07424414469049188,0.05261681808702381,0.037360049011346215,0.07920114858798605,0.0469365551072414,0.039355082226441095,0.0932304414508779,0.10451623711811377,0.10894557684306674,0.08844970940310104,0.13353145965815458,0.04999216053528789,0.10041996931068577,0.26430153862228095,0.12479301667631858,0.0769700965558572,0.5240132744059038,0.3061956982271574
r,Banner,2021-03-15,,,,,,,,,,,0.28552895971960407,0.48038656885596986,0.6344462189121128,0.5386260442215802,0.4158595467980362,0.31128196830984567,-0.007268859002485572,0.09834851471448657,0.0991539222691817,0.12923998421743066,0.2493833698305562,0.2526300103230235,0.28017490432716186,0.2744810872578337,0.3169513971522889,0.38680156077089967,0.35173865717104413,0.36016639361921343,0.3261911970032068,0.3112659003658626,0.30759952026241605,0.3170642578010565,0.2998004281724593,0.3097850143577288,0.2972101953394912,0.28550138593228425,0.2761860300913941,0.28316820338653137,0.25870555837998016,0.24363808109423968,0.24417542797401534,0.22470693116856247,0.19377777434229915,0.16349653405944004,0.1475979844607588,0.10503337185513352,0.06542257929032484,0.02717693113724361,0.017700771095771707,0.021231459513787944,0.05673835279184609,0.03241603080288623,0.011815486533307102,0.0010188919791003,-3.3955757206841075e-05,-0.02016186571168576,-0.03217522096271895,-0.05131179621944879,-0.05382990214042713,-0.07683781248943854,-0.09898776171621758,-0.12516507946350366,-0.1541946760359393,-0.19795017404903698,-0.2326128106699123,-0.2359965387731087,-0.23048877340523538,-0.20237600190128147,-0.17942160529283413,-0.14445210348922866,-0.1150387670032148,-0.09809327858426921,-0.0719815726158807,-0.02707826969127019,0.0006424373984371418,0.019964978905891544,0.046548691217617635,0.045918097277432124,0.05958850817868156,0.08224580096417092,0.10797990299851075,0.11751148703915268,0.111504780576009,0.1257560021004248,0.1347380989296432,0.15711509212123373,0.1548247956329296,0.13367610969731514,0.14118763822678812,0.1414364916788249,0.13696693781558408,0.10789247015681495,0.08807625398187167,0.06261977014487313,0.08128788414417198,0.07344652677219797,0.04981514622799426,0.06914026015250825,0.04181428767936049,0.054805692537408975,0.049832166881373985,0.036557497411115324,0.05461279048916922,0.03856566688222794,0.08258041009965743,0.06217038695865952,0.0831047896331727,0.1698295436741188,0.19778803139810774,0.07228353006086971,-0.10446655497252483,0.020396611300799148,-0.41958199509739286
r,Dry_Creek,2020-02-19,,,,,,,,,,,,,,,,,,,-1.0,0.19689550129381178,0.28347047016525523,0.22461279875563406,0.2616971831655729,0.5687420920913786,0.6639137166008624,0.6840864091345897,0.6765390186401129,0.6211051318527493,0.5973102152523604,0.5558303218852584,0.48488261732917315,0.4931237395188815,0.46267614210414537,0.4936066813779433,0.5427686700648245,0.5342975022848765,0.5673058172870253,0.5591283391891165,0.561574289550876,0.563844992170746,0.53916051798245,0.533574670071162,0.5680114385096566,0.5498951399350848,0.5356880053690394,0.5203442555276778,0.5225592216293317,0.5035088556820784,0.5050583507611149,0.4865047825451272,0.4638928521841297,0.43151899137361116,0.401224676054755,0.38910904870427687,0.3955816658720914,0.4145593527794574,0.41256482312047615,0.4342803110486389,0.4498007767572403,0.4340606962677694,0.4345884771441917,0.44746206381314485,0.4474179175491034,0.4525179931417421,0.4691853168911702,0.4830810957844265,0.493141158627447,0.5143238810721594,0.5157660100527078,0.5294401050220517,0.5333273275226383,0.5440051799335118,0.5059002539618921,0.5267527410908608,0.5567591701883189,0.5590548685817116,0.5397777177433417,0.5156206397981713,0.49554075654332225,0.49116880913261746,0.45886747192637517,0.4377645278369108,0.43747713239282265,0.4501030073518528,0.4184569671568312,0.460180951688765,0.47579114474335066,0.4672085423122263,0.3436750592229256,0.2965622444088474,0.33788317666904105,0.39746637399107926,0.28338733751398887,0.40969510038013335,0.29258980819395874,0.09330848106703428,-0.01588115268434331,-0.08489077075810561,0.04785571282545209,-0.36108400473518953,,,,,,,,,,,,,
r,Mores,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1022220590562286,0.12283095398028744,0.17310431921060515,0.19363552435445647,0.1537006528643481,0.1806455460954937,0.1276282687576519,0.13039841692230097,0.09790894571664863,0.09402007989270451,0.07820965030609658,0.08947893490193695,0.10242341177158583,0.07017457864271849,0.12240727638747857,0.08704029316809765,0.00265593765787952,-0.07468851343106567,-0.11969860233267023,-0.16689013391549173,-0.15649704526685082,-0.14181117192626808,-0.09340878748963012,-0.0434722730938435,-0.051108290092423216,-0.06457054299038062,-0.04296201359982306,-0.07852983093794122,-0.08511955345133734,-0.11073312792049186,-0.13807250486238024,-0.15267751241088956,-0.15230632328084848,-0.11573175319475265,-0.10924267940382257,-0.11271964534138726,-0.10770630829568512,-0.08079733742851461,-0.09397837855878287,-0.08272775292208759,-0.0937891321962631,-0.09940381354950725,-0.10429395898079281,-0.10499304812092329,-0.07825395041806567,-0.059534257290614734,-0.045290438081064394,-0.014877393432546925,0.003384284777599885,0.00975801445485085,0.028325598815651273,0.022121728993419024,0.01988210576188211,0.048632039009811195,0.06381299906151221,0.08597466021930482,0.1319869922837505,0.08904756852074838,0.06107124139435334,0.03981435269225254,0.058311651252183544,0.05516910509103826,0.07362101625717617,0.0849139502343538,0.119695938168575,0.06890231103648405,0.011097258283942053,0.016584153536834973,0.027629990161617043,0.07118642453402356,0.02686860543746208,-0.0277611102298386,-0.014256818336959994,-0.15153245671065504,0.21345087540321434,0.061674324364727647,0.022373638218973306,,,,,,,,
r,Mores,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05767310031409918,0.12313217795279817,0.5693737509589191,0.39541638683492747,0.2006575094758144,-0.019624871625451845,0.07537502505667248,0.03331738271371916,0.05102393965272476,0.10864103774063429,0.1519296512926232,0.1375356023482481,0.1765341318146367,0.1591480662218091,0.17901666121704524,0.14625889005846598,0.11929811247857874,0.08140102288730168,0.029088947283557483,0.032106583874315385,-0.013379639626623165,-0.02576409268593958,-0.021704374991883456,0.0046080050227330985,0.03539003156227975,0.04718010396325509,0.09150361177733968,0.07421875666504074,0.07520284719583174,0.07933961562915967,0.0848438330722269,0.10019898244940782,0.10682568684405315,0.12784296350768945,0.1294572027901732,0.11452916785929046,0.12108032366976264,0.10105355162442445,0.12600327983086,0.13900850316615093,0.12754588127935274,0.10854258603243419,0.09077670670630406,0.061468032550109894,0.0684099302122616,0.06642600173298949,0.06848188425146502,0.09353880522915586,0.09965657117206654,0.10619473632346947,0.08069514251127785,0.08745379310061074,0.08707723482216506,0.05956069789913662,0.040825973500890095,0.022029336019831435,0.02391948520880883,0.006334782260925098,-0.024534333013018453,-0.03771428101952579,-0.05057989777220974,-0.05573499846727641,-0.04700019863873518,-0.05728766156286684,-0.01090855320237127,-0.011137140424820394,-0.04598786020885463,-0.07246780580936506,-0.09354013004364468,-0.07207381783084404,0.17729394645264937,0.1812136825670787,0.12567884935725293,0.29805934102900067,0.4358094030019091,0.5371285961084121,0.5420083748170481,,,,,,,,
